rx_data_id (OUT),end_device_id (OUT),gateway_id (OUT),received_time (OUT),sequence_number (OUT),port (OUT),radio_id (OUT),channel (OUT),snr_db (OUT),rssi_dbm (OUT),frequency_hz (OUT),modulation_type (OUT),data_rate (OUT),coding_rate (OUT),adr (OUT),payload (OUT)
103604,303636326B39820B,7276FF0039030A46,1665665606,54,2,0,2,7.000000,-49,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103605,303636326739830B,7276FF0039030A46,1665665611,45,2,0,0,9.800000,-44,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103606,303636326E398D17,7276FF0039030A46,1665665616,64,2,0,1,9.500000,-51,868300000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103607,3036363264397D0B,7276FF0039030A46,1665665616,78,2,0,0,9.000000,-53,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103608,303636326739830B,7276FF0039030A46,1665665621,46,2,0,2,7.800000,-45,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103609,303636326E398D17,7276FF0039030A46,1665665626,65,2,0,0,10.800000,-53,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103610,3036363264397D0B,7276FF0039030A46,1665665626,79,2,0,2,8.200000,-47,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103611,303636326B39820B,7276FF0039030A46,1665665626,56,2,0,2,7.500000,-49,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103612,303636326739830B,7276FF0039030A46,1665665631,47,2,0,0,9.500000,-45,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103613,303636326E398D17,7276FF0039030A46,1665665636,66,2,0,0,10.200000,-55,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103614,3036363264397D0B,7276FF0039030A46,1665665636,80,2,0,2,7.000000,-53,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103615,303636326B39820B,7276FF0039030A46,1665665636,57,2,0,1,9.000000,-51,868300000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103616,303636326739830B,7276FF0039030A46,1665665641,48,2,0,2,6.200000,-46,868500000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103617,303636326E398D17,7276FF0039030A46,1665665646,67,2,0,0,9.500000,-51,868100000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103618,3036363264397D0B,7276FF0039030A46,1665665646,81,2,0,1,10.000000,-52,868300000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103619,303636326B39820B,7276FF0039030A46,1665665646,58,2,0,2,8.500000,-49,868500000,LoRa,SF7BW125,4/5,true,ACcQGgH0/j4JDQUDqwAA
103620,303636326739830B,7276FF0039030A46,1665665651,49,2,0,1,9.000000,-46,868300000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103621,303636326E398D17,7276FF0039030A46,1665665656,68,2,0,2,7.500000,-51,868500000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103622,3036363264397D0B,7276FF0039030A46,1665665656,82,2,0,0,9.800000,-57,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103623,303636326B39820B,7276FF0039030A46,1665665656,59,2,0,1,10.200000,-49,868300000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103624,303636326739830B,7276FF0039030A46,1665665661,50,2,0,0,10.800000,-49,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103625,303636326E398D17,7276FF0039030A46,1665665666,69,2,0,1,9.200000,-51,868300000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
103626,3036363264397D0B,7276FF0039030A46,1665665666,83,2,0,0,11.200000,-70,868100000,LoRa,SF7BW125,4/5,true,ACcQHAH0/j4JDQUDqwAA
103627,303636326B39820B,7276FF0039030A46,1665665666,60,2,0,1,10.200000,-49,868300000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103628,303636326739830B,7276FF0039030A46,1665665671,51,2,0,0,9.500000,-46,868100000,LoRa,SF7BW125,4/5,true,ACcQGwH0/j4JDQUDqwAA
103629,303636326E398D17,7276FF0039030A46,1665665676,70,2,0,1,9.800000,-52,868300000,LoRa,SF7BW125,4/5,true,ACcQHQH0/j4JDQUDqwAA
